"phylum","class","order","spp","genomes","sequences","papers"
"Echinodermata","Echinoidea","Echinothuroida",13,0,4,0
"Annelida","Polychaeta","Opheliida",6,0,0,0
"Tardigrada","Heterotardigrada","Echiniscoidea",140,0,1162,2
"Tardigrada","Heterotardigrada","Arthrotardigrada",17,0,23,12
"Echinodermata","Crinoidea","Hyocrinida",15,0,58,1
"Annelida","Clitellata","Moniligastrida",25,0,311,0
"Mollusca","Gastropoda","Pleurobranchomorpha",44,0,304,1
"Porifera","Calcarea","Baerida",2,0,11,0
"Cnidaria","Cubozoa","Chirodropida",12,0,95,3
"Cnidaria","Cubozoa","Carybdeida",29,0,486,5
"Nemertea","Enopla","Polystilifera",10,0,35,2
"Mollusca","Cephalopoda","Teuthida",435,0,5998,4
"Mollusca","Cephalopoda","Spirulida",1,0,36,3
"Mollusca","Cephalopoda","Sepiolida",54,0,6036,2
"Mollusca","Cephalopoda","Sepiida",59,0,1498,8
"Loricifera",NA,"Nanaloricida",4,0,5,0
"Cnidaria",NA,"Malacovalvulida",18,0,297,1
"Cnidaria","Hydrozoa","Leptothecata",429,0,5129,9
"Arthropoda","Diplopoda","Siphonophorida",3,0,7,2
"Cnidaria","Hydrozoa","Anthoathecata",585,1,361777,7
"Nematoda","Enoplea","Trefusiida",11,0,21,0
"Nematoda","Chromadorea","Desmoscolecida",109,0,199,3
"Arthropoda","Pycnogonida","Pantopoda",471,0,2649,10
"Chaetognatha","Sagittoidea","Monophragmophora",5,0,11,1
"Bryozoa","Stenolaemata","Tubuliporida",7,0,29,0
"Echinodermata","Asteroidea","Notomyotida",17,0,36,1
"Rotifera","Bdelloidea","Philodinavidae",5,0,29,0
"Echinodermata","Echinoidea","Holasteroida",2,0,24,2
"Cnidaria","Hydrozoa","Actinulida",2,0,3,0
"Platyhelminthes","Cestoda","Cathetocephalidea",2,0,10,4
"Arthropoda","Maxillopoda","Akentrogonida",10,0,26,4
"Kinorhyncha",NA,"Cyclorhagida",66,0,469,14
"Porifera","Calcarea","Lithonida",2,0,32,0
